t;rho;Q;W
0;0.4;0;0
1;1.0;1;0
2;1.0;1;0
3;1.0;3;0
4;1.0;4;0
5;1.0;7;0
6;1.0;10;0
7;1.0;9;6.0
8;1.0;9;5.5
9;1.0;10;5.5
10;1.0;9;6.0
11;1.0;8;6.25
12;1.0;10;6.25
13;1.0;10;6.25
14;1.0;8;7.166666666666667
15;1.0;10;7.166666666666667
16;1.0;10;7.166666666666667
17;1.0;10;7.166666666666667
18;1.0;8;8.5
19;1.0;10;8.5
20;1.0;9;9.11111111111111
21;1.0;10;9.11111111111111
22;1.0;10;9.11111111111111
23;1.0;10;9.11111111111111
24;1.0;10;9.11111111111111
25;1.0;9;10.1
26;1.0;10;10.1
27;1.0;7;11.76923076923077
28;1.0;8;12.071428571428571
29;1.0;10;12.071428571428571
30;1.0;10;12.071428571428571
31;1.0;10;12.071428571428571
32;1.0;10;12.071428571428571
33;1.0;10;12.071428571428571
34;1.0;8;12.9375
35;1.0;9;13.117647058823529
36;1.0;10;13.117647058823529
37;1.0;10;13.117647058823529
38;1.0;10;13.117647058823529
39;1.0;10;13.117647058823529
40;1.0;9;13.555555555555555
41;1.0;8;13.894736842105264
42;1.0;9;14.0
43;1.0;9;14.047619047619047
44;1.0;10;14.047619047619047
45;1.0;10;14.047619047619047
46;1.0;9;14.227272727272727
47;1.0;10;14.227272727272727
48;1.0;10;14.227272727272727
49;1.0;10;14.227272727272727
50;1.0;8;14.791666666666666
51;1.0;9;14.84
52;1.0;10;14.84
53;1.0;9;14.961538461538462
54;1.0;9;14.961538461538462
55;1.0;10;14.961538461538462
56;1.0;9;15.148148148148149
57;1.0;9;15.148148148148149
58;1.0;10;15.148148148148149
59;1.0;9;15.214285714285714
